tag,module_name,rtl_path,total_cells,flop_cells,comb_cells,min_bits,max_bits,n_levels,input_bits,acc_guard,avg_bits_per_tap,rms_error_wideband,snr_db_wideband,stopband_atten_db,passband_ripple_db,bit_widths
b_s_lo12_hi14_lv3_i15_g2,fir_b_s_lo12_hi14_lv3_i15_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi14_lv3_i15_g2.v,10789,297,10492,12,14,3,15,2,13.0,0.0002815324583396896,60.55332511636785,36.64441821760706,0.3900362953723182,"13,12,14,13,14,12,14,13,12"
b_s_lo13_hi16_lv3_i14_g2,fir_b_s_lo13_hi16_lv3_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi16_lv3_i14_g2.v,10808,274,10534,13,16,3,14,2,14.333333333333334,0.00012981534269327876,67.27737408526409,37.038024565461015,0.3904918853093552,"14,13,16,14,16,13,16,14,13"
b_s_lo13_hi16_lv3_i14_g4,fir_b_s_lo13_hi16_lv3_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi16_lv3_i14_g4.v,10825,274,10551,13,16,3,14,4,14.333333333333334,0.00012981534269327876,67.27737408526409,37.038024565461015,0.3904918853093552,"14,13,16,14,16,13,16,14,13"
b_s_lo13_hi14_lv3_i14_g2,fir_b_s_lo13_hi14_lv3_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi14_lv3_i14_g2.v,10838,274,10564,13,14,3,14,2,13.666666666666666,0.00016666556562073222,65.10697695757756,36.96300214090565,0.39441216883680175,"14,13,14,14,14,13,14,14,13"
b_s_lo11_hi16_lv4_i15_g4,fir_b_s_lo11_hi16_lv4_i15_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo11_hi16_lv4_i15_g4.v,10843,297,10546,11,16,4,15,4,13.555555555555555,0.00027638058511630735,60.713743929819366,36.67267199899862,0.38983461705806266,"14,13,14,13,16,11,16,14,11"
b_s_lo13_hi15_lv3_i14_g4,fir_b_s_lo13_hi15_lv3_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi15_lv3_i14_g4.v,10862,274,10588,13,15,3,14,4,14.0,0.0001353230068907337,66.91646178253558,36.96297048562493,0.3902900138543355,"14,13,15,14,15,13,15,14,13"
b_s_lo11_hi16_lv4_i15_g2,fir_b_s_lo11_hi16_lv4_i15_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo11_hi16_lv4_i15_g2.v,10895,297,10598,11,16,4,15,2,13.555555555555555,0.00027638058511630735,60.713743929819366,36.67267199899862,0.38983461705806266,"14,13,14,13,16,11,16,14,11"
b_s_lo12_hi14_lv4_i16_g2,fir_b_s_lo12_hi14_lv4_i16_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi14_lv4_i16_g2.v,10954,314,10640,12,14,4,16,2,13.0,0.0002884670739585449,60.34196958170014,36.69431043612097,0.3930938718596422,"13,13,13,13,14,12,14,13,12"
b_s_lo12_hi14_lv4_i16_g4,fir_b_s_lo12_hi14_lv4_i16_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi14_lv4_i16_g4.v,10982,314,10668,12,14,4,16,4,13.0,0.0002884670739585449,60.34196958170014,36.69431043612097,0.3930938718596422,"13,13,13,13,14,12,14,13,12"
b_s_lo13_hi14_lv4_i15_g2,fir_b_s_lo13_hi14_lv4_i15_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi14_lv4_i15_g2.v,11047,297,10750,13,14,4,15,2,13.555555555555555,0.00019944017810957435,63.54764150150353,36.93751570684481,0.39022683105991746,"14,13,14,13,14,13,14,14,13"
